[00:00] 抽到早物怎么样
[00:01] 各位老大好
[00:01] 我是老二
[00:02] 本期视频带大家全方位的攻略下找物
[00:05] 他作为开服为数不多的正义辅助
[00:07] 不仅可以给队友提供攻击力加成
[00:10] 大招的伤害倍率也是比较可观的
[00:12] 长按普攻还可以直接吃掉一些弱小的敌人
[00:15] 比如像我们前期打深渊
[00:17] 角色练度还没有扬起来的时候
[00:20] 这些怪物的等级都非常高
[00:22] 直接去打伤害比较低
[00:24] 需要打很久
[00:24] 怪物打我们也非常痛
[00:26] 此时就可以长按他的普攻
[00:28] 直接吃掉一个75级的怪
[00:30] 少了一个怪攻击
[00:32] 我们自然打起来生存压力就会减少很多
[00:35] 不过大家需要注意这个吞怪是有冷却时间的
[00:38] 他把怪吞进去后
[00:40] 需要180秒去消化
[00:42] 在这个消化的过程中
[00:44] 它是不能继续吃其他怪的
[00:46] 而且这个吞怪并不是所有的怪都能吞
[00:49] 像一些体型大的怪呀
[00:50] 还有一些boss啊
[00:51] 都是不可以吞的
[00:52] 毕竟能直接把boss吞掉
[00:54] 那就有点太夸张了
[00:55] 接着我们来看看他的普攻
[00:57] 普攻总共分为五段
[00:59] 第一段普攻是拿着这个像锤子一样的东西
[01:02] 向前挥击一下
[01:04] 造成一段伤害
[01:05] 第二段普攻是向前挥两下
[01:07] 造成两段伤害
[01:08] 第三段普攻是往前砸一下
[01:10] 造成两段伤害
[01:11] 第四段普攻是用这个锤子前面的这个宠物
[01:15] 攻击敌人
[01:16] 造成三段伤害
[01:17] 第五段普攻找物
[01:18] 它会跳到天上
[01:20] 重重的往前砸一下
[01:21] 造成两段伤害
[01:22] 如果我们把这五段普攻全部打完
[01:25] 就可以回复早物34点左右的缓和值
[01:28] 他的普攻同样可以进行合奏
[01:31] 当打到第四段普攻
[01:32] 用这个宠物攻击敌人的时候
[01:34] 我们再点一下普攻键
[01:36] 相当于就是预输入一个普攻
[01:38] 然后直接切娜娜丽进场
[01:40] 大家看他就会自己把第五段普攻打出来
[01:44] 再给大家演示一下AA两下切人
[01:48] 你看他就会自己打
[01:50] 第五下
