[00:00] 抽到白城怎么玩
[00:01] 各位老大家好
[00:01] 我是老二
[00:02] 最近很多老大和我说
[00:03] 白藏技能太复杂
[00:05] 抽到哪不会玩
[00:06] 那么本期视频就带大家全方位的攻略一下它
[00:09] 他作为开服为数不多的S级主力输出
[00:12] 虽然技能看起来比较复杂
[00:14] 但是学会了玩起来还是不难的
[00:16] 首先我们来看看他的普攻
[00:18] 第一段普攻
[00:19] 他会把前面扇形区域内的敌人都吸到自己面前
[00:23] 就是有一点聚怪的效果
[00:25] 然后对他们造成一段伤害
[00:27] 第二段普攻
[00:28] 他会把面前的敌人往前击退一点点距离
[00:31] 并且这个怪还会被击飞一下
[00:33] 这时候他还会自动衔接
[00:35] 第三段普攻在敌人脚底下生成这种小红圈
[00:38] 攻击敌人
[00:39] 同时再造成一次击飞
[00:41] 第四段普攻
[00:42] 白藏会瞬移到敌人的面前
[00:44] 踢他三脚
[00:45] 这段普攻有攻击吸附
[00:46] 会自动拉近我们和敌人之间的距离
[00:49] 第五段普攻
[00:50] 他会在面前生成一个红色的字
[00:52] 然后这个智慧爆炸对敌人造成一次伤害
[00:55] 同时把敌人炸飞
[00:57] 他这五段普攻在打小怪的时候还是很好用的
[01:00] 又有小范围聚怪
[01:01] 又有击飞
[01:02] 控制比较足
[01:03] 不过我们实战中用的最多的还是他的重击
[01:06] 他的重击总共有三种打法
[01:08] 先给大家讲一下
[01:09] 第一种也就是我们用的最多的一种打法
[01:12] 翻滚攻击
[01:13] 在进入战斗后
[01:14] 我们按住任意方向键不要松
[01:16] 比如我这里按住前进键
[01:18] 往前一直走
[01:19] 我们方向键不要松开
[01:21] 接着长按闪避键
[01:23] 它就会翻滚一下
[01:24] 往前面的地上丢三个红色的字
[01:27] 这三个字会对敌人造成一段伤害
[01:29] 并且还会击退他们
[01:31] 接着这些字会爆炸
[01:33] 对周围敌人再造成一次伤害
[01:35] 也就是总共两段伤害
[01:36] 不过大家会发现
[01:38] 为什么我这里一直在翻滚呢
[01:40] 这是因为他的这个翻滚攻击可以连续释放
[01:43] 我们按住任意方向键后
[01:45] 长按闪避
[01:46] 不是会释放这个翻滚攻击吗
[01:48] 攻击完我们不要把方向键松开
[01:50] 而是把闪避键松开
