[00:00] 抽到达芙第二怎么样
[00:01] 各位老大好
[00:01] 我是老二
[00:02] 达芙蒂尔作为开服唯一的暗属性角色
[00:05] 想要玩灼燃反应或者是暗星反应
[00:08] 他就是我们必须要熟悉的角色
[00:10] 下面就带大家全方位的攻略一下他
[00:13] 他的普攻总共有五段
[00:14] 第一段会半跪着向左挥刀
[00:16] 向前砍一下
[00:17] 第二段会向右挥刀
[00:19] 往前刺一下
[00:20] 第三段它会飞到空中
[00:22] 把刀插入地面
[00:24] 这个刀的后面还会带着一个锁链
[00:26] 是不是很酷
[00:27] 接着他会突进到这里
[00:28] 收回他的刀
[00:29] 第四段他会转身挥砍三下
[00:32] 第五段他会向后空翻
[00:34] 同时把双刀丢出去
[00:35] 像齿轮一样旋转攻击敌人
[00:37] 这个素材不是很明显
[00:39] 我们换个素材
[00:40] 你看就像这样一直旋转攻击敌人
[00:43] 他自己则是抓住两根锁链控制双刀
[00:46] 整套普攻流程看起来是非常酷的
[00:48] 他作为一个速切爆发输出
[00:50] 大招才是他的重要输出手段
[00:53] 他的大招开启后总共可以持续30秒左右
[00:56] 开大后左眼会冒着紫蓝色的火焰
[00:59] 后面的小辫子也会一直发光
[01:01] 同时大招开启后还会有三个效果
[01:04] 第一个效果是在大招期间
[01:06] 他造成的伤害会获得提高
[01:08] 比如这里没开大之前
[01:10] 中间几段攻击的伤害是491
[01:13] 开大后中间几段的伤害就变成了526
[01:16] 第二个效果是他会给周围敌人挂上洞察效果
[01:20] 就是敌人血条下面这个眼睛图标
[01:22] 这个洞察效果大概能持续45秒左右
[01:25] 那它有什么用呢
[01:27] 这就要说到清线伤害了
[01:28] 在敌人血条下面会有个白色的进度条
[01:31] 叫做清线条
[01:32] 当我们把这个白条打空后
[01:34] 敌人就会受到一次清线伤害
[01:36] 也就是这个白色的伤害
[01:38] 如果敌人身上此时有他大招施加的洞察效果
[01:42] 那他就会消耗洞察效果
[01:44] 让敌人受到两次清线伤害
[01:46] 需要注意的是
[01:47] 它和环和反应不同
[01:48] 环和反应
[01:49] 只会受到环和强度高的那一个角色影响
